observation_id,grain,season,source_record_id,source_player_id,source_match_id,source_team_id,fixture_attachment_status,fixture_entity_id,home_team_attachment_status,home_team_entity_id,away_team_attachment_status,away_team_entity_id,source_player_identity_status,player_attachment_status,player_entity_id,player_source_identity_ref,team_attachment_status,team_season_id,attachment_basis_player
player_season/3001,player_season,2024-25,,209042,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,209042,UNRESOLVED,,no existing verified Player Research closure
player_season/3002,player_season,2024-25,,225902,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,225902,UNRESOLVED,,no existing verified Player Research closure
player_season/3003,player_season,2024-25,,549640,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,549640,UNRESOLVED,,no existing verified Player Research closure
player_season/3004,player_season,2024-25,,461587,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,461587,UNRESOLVED,,no existing verified Player Research closure
player_season/3005,player_season,2024-25,,536916,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,536916,UNRESOLVED,,no existing verified Player Research closure
player_season/3006,player_season,2024-25,,519223,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,519223,UNRESOLVED,,no existing verified Player Research closure
player_season/3007,player_season,2024-25,,531997,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,531997,UNRESOLVED,,no existing verified Player Research closure
player_season/3008,player_season,2024-25,,649208,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,649208,UNRESOLVED,,no existing verified Player Research closure
player_season/3009,player_season,2024-25,,531442,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,531442,UNRESOLVED,,no existing verified Player Research closure
player_season/3010,player_season,2024-25,,101668,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,101668,UNRESOLVED,,no existing verified Player Research closure
player_season/3011,player_season,2024-25,,154048,,,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,UNRESOLVED,,154048,UNRESOLVED,,no existing verified Player Research closure
