observation_id,grain,season,source_record_id,source_player_id,source_match_id,source_team_id,fixture_attachment_status,fixture_entity_id,home_team_attachment_status,home_team_entity_id,away_team_attachment_status,away_team_entity_id,player_attachment_status,player_entity_id,team_attachment_status,team_season_id
team_match/6297,team_match,2024-25,2444579,,2444579,20,VERIFIED,110,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:39
team_match/6298,team_match,2024-25,2444579,,2444579,17,VERIFIED,110,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:20
team_match/6299,team_match,2024-25,2444581,,2444581,1,VERIFIED,111,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:3
team_match/6300,team_match,2024-25,2444581,,2444581,16,VERIFIED,111,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:17
team_match/6301,team_match,2024-25,2444582,,2444582,2,VERIFIED,112,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:7
team_match/6302,team_match,2024-25,2444582,,2444582,7,VERIFIED,112,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:31
team_match/6303,team_match,2024-25,2444580,,2444580,3,VERIFIED,113,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:91
team_match/6304,team_match,2024-25,2444580,,2444580,5,VERIFIED,113,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:36
team_match/6305,team_match,2024-25,2444583,,2444583,8,VERIFIED,114,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:11
team_match/6306,team_match,2024-25,2444583,,2444583,4,VERIFIED,114,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:94
team_match/6307,team_match,2024-25,2444584,,2444584,9,VERIFIED,115,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:54
team_match/6308,team_match,2024-25,2444584,,2444584,20,VERIFIED,115,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:39
team_match/6309,team_match,2024-25,2444585,,2444585,10,VERIFIED,116,NOT_APPLICABLE,,NOT_APPLICABLE,,NOT_APPLICABLE,,VERIFIED,2024-25:40
