source_player_id,canonical_player_identity,closure_status,evidence_basis
142148,sead kolasinac,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1423711,myles lewis-skelly,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1424625,brayden clarke,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
142622,antonio rüdiger,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1426220,joachim kayi-sanda,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1426224,mathis amougou,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
143040,wataru endo,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
143697,roberto firmino,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1438837,romain esse,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1438929,callum bates,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1440673,jay robinson,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1445799,ayden heaven,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1446172,daniel adu-adjei,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
145188,james tarkowski,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1457536,andrés garcía,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1463438,michael dacosta gonzalez,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1465401,caleb kporha,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1467880,tony yogane,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1470048,iwan morgan,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1470532,benjamin fredrick,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
148710,jeffrey schlupp,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1500263,aaron anselmino,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1500529,benjamin arthur,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1500620,zach marsh,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1514221,samuel amissah,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
151499,bobby de cordova-reid,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
151545,virgil van dijk,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1518589,yunus konak,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1525389,jayden moore,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1532899,ben broggio,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1537202,archie harris,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1546231,joshua king,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1550811,amara nallo,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
155818,takumi minamino,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1567897,ollie harrison,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
158263,emiliano martínez,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
159665,mohamed salah,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
159675,mohamed elneny,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
161717,james ward-prowse,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1621612,ismeal kabia,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
162653,nick pope,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
1627560,harrison armstrong,VERIFIED,verified player_identity_registry.csv + existing Player Research identity semantics
