"research_family","subclass","source_surface","resource","grain","field_name","field_type","semantic_status","canonical_attachment","relationship_kind","identity_contract","source_identity_required","notes"
"FPL","Price & Value","fpl","bootstrap-static.json","sample_payload","elements[].price_change_locked_until","NoneType","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Price & Value","fpl","bootstrap-static.json","sample_payload","elements[].price_change_percent","str","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Price & Value","fpl","bootstrap-static.json","sample_payload","elements[].price_change_projections","object","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Price & Value","fpl","bootstrap-static.json","sample_payload","elements[].price_change_projections[].likelihood","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Price & Value","fpl","bootstrap-static.json","sample_payload","elements[].price_change_projections[].offset","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Price & Value","fpl","bootstrap-static.json","sample_payload","elements[].price_change_projections[].projected_percent","str","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].recoveries","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].red_cards","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].region","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].removed","bool","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Performance","fpl","bootstrap-static.json","sample_payload","elements[].saves","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].saves_per_90","float","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].scout_news_link","str","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].scout_risks","object","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].second_name","str","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Gameweek & State","fpl","bootstrap-static.json","sample_payload","elements[].selected_by_percent","str","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Gameweek & State","fpl","bootstrap-static.json","sample_payload","elements[].selected_rank","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Gameweek & State","fpl","bootstrap-static.json","sample_payload","elements[].selected_rank_type","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].special","bool","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].squad_number","NoneType","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Performance","fpl","bootstrap-static.json","sample_payload","elements[].starts","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].starts_per_90","float","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].status","str","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Performance","fpl","bootstrap-static.json","sample_payload","elements[].tackles","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].team","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].team_code","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","FPL Review","fpl","bootstrap-static.json","sample_payload","elements[].team_join_date","str","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Performance","fpl","bootstrap-static.json","sample_payload","elements[].threat","str","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Gameweek & State","fpl","bootstrap-static.json","sample_payload","elements[].threat_rank","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Gameweek & State","fpl","bootstrap-static.json","sample_payload","elements[].threat_rank_type","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Points","fpl","bootstrap-static.json","sample_payload","elements[].total_points","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Gameweek & State","fpl","bootstrap-static.json","sample_payload","elements[].transfers_in","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
"FPL","Gameweek & State","fpl","bootstrap-static.json","sample_payload","elements[].transfers_in_event","int","OBSERVED_IN_RAW_PAYLOAD","UNMAPPED_REVIEW","UNKNOWN","","FALSE","fpl\bootstrap-static.json"
