field_name,source_surface,resource,grain,player_link,fixture_link,club_link,matrix_class,canonical_attachment,relationship_kind,identity_contract
metersCoveredSprintingKm,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
metersCoveredWalkingKm,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
minutesPlayed,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
onTargetScoringAttempt,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
outfielderBlock,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
ownGoals,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
penaltyConceded,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
penaltyFaced,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
penaltyMiss,FRL_LOCAL_CSV,player_match,player_match,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,NOT_IN_DIRECT_GRAIN,PLAYER_FIXTURE_VERIFIED,player_fixture,OBSERVATION,player_identity_to_player_match_observations
penaltySave,FRL_LOCAL_CSV,player_match,player_match,RELATIONSHIP_METADATA_PRESENT,VERIFIED_METADATA_SCOPE,VERIFIED_METADATA_SCOPE,FIXTURE_CLUB_VERIFIED,team_fixture,OBSERVATION,canonical_team_season_to_source_team
