season,source_family,source_file_family,source_field,registry_status,presence,source_files
2016-17,player_season,players_stats,position,retained,PRESENT,20
2016-17,player_season,players_stats,punches,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,putthroughBlockedDistribution,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,putthroughBlockedDistributionWon,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,recoveries,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,redCards2ndYellow,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,rightFootGoals,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,rightsidePasses,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,savesFromPenalty,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,savesMade,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,savesMadeCaught,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,savesMadeFromInsideBox,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,savesMadeFromOutsideBox,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,savesMadeParried,UNCATALOGUED,PRESENT,20
2016-17,player_season,players_stats,season,exposed,PRESENT,20
